iso3,cfr,cfr.sd,cfr.lo,cfr.hi
ABW,0.10069325981073,0.0235624083329586,0.0593974375476432,0.151294222910013
AFG,0.149874858109477,0.0447764185114631,0.0734330543385883,0.24743769564053
AGO,0.188476245300343,0.0509884230717871,0.0994631483729955,0.297843555331562
AIA,0.420444926313547,0.153697424226935,0.143790192375879,0.729282230961652
ALB,0.0318078237458263,0.00885416693068062,0.0168233426390554,0.0512954806410674
AND,0.469331593865502,0.10982445775421,0.259609197443877,0.684970996478614
ARE,0.853869159639913,0.218080037691487,0.214737273371694,0.999999886166477
ARG,0.0682625587949066,0.0075923038077824,0.0541399409803838,0.0838678756505125
ARM,0.0854513452131435,0.0139587561378991,0.0601193636871191,0.114703187000929
ASM,0.0826787203366165,0.0193469729024529,0.0488566441698477,0.124318062959045
ATG,0.508381323848874,0.0575622480013229,0.395676611389576,0.620659141007533
AUS,0.0325256636881673,0.00257100552942445,0.0276753627508013,0.0377479210496511
AUT,0.0984710244307532,0.00768742151998844,0.0839189699073838,0.11403611414266
AZE,0.132233614733545,0.0184486336475458,0.0982125826420824,0.170396108855213
BDI,0.252930231714426,0.0696597949783928,0.129897721628963,0.400591090063751
BEL,0.0438740162362531,0.00450083043642305,0.035478020815161,0.0531043626846927
BEN,0.181771747720257,0.049163496226166,0.0960554263672675,0.287350284807327
BFA,0.256827526188145,0.0708726030233264,0.131568001483283,0.406944553313677
BGD,0.125015400933027,0.0282222608452268,0.0751640579065748,0.185261854151795
BGR,0.0773959551322888,0.00977633037975648,0.0593345402315644,0.0976013674361571
BHR,0.0549783565229845,0.00595102111934199,0.0439014543306112,0.0672044629876297
BHS,0.0994956888715053,0.0169685730162247,0.0687695446502227,0.135106429864396
BIH,0.135969182941959,0.0208024914151447,0.0978349560964205,0.179197190607862
BLR,0.1407904639209,0.0189179793804072,0.105793640531846,0.179822468385944
BLZ,0.126438486087512,0.0161668833204327,0.0964782241287856,0.159753267233511
BMU,0.0551349739561946,0.0176597627379314,0.0258778161265869,0.094475519356294
BOL,0.12004185968057,0.0291701863584944,0.0690137876178957,0.182725812128692
BRA,0.0822525903653878,0.00747997261153943,0.0681899032772645,0.0974886787455197
BRB,0.393463006160087,0.0383762155912583,0.31960779426803,0.469825126233629
BRN,0.0648548027707646,0.00707199370615767,0.0516886815477128,0.0793805888316769
BTN,0.132866519328677,0.0322365068542257,0.0763499580887212,0.202008346266759
BWA,0.419284753649579,0.108996472318596,0.216152440631694,0.638106584752245
CAF,0.283477651689712,0.0711468883374294,0.155569664773879,0.432331726379784
CAN,0.0421842108520669,0.00439528804918723,0.0339925167137039,0.0512050333936791
CHE,0.0514249913466747,0.00467839563030096,0.0426435635200105,0.0609689144123202
CHL,0.148470994039738,0.0118018309657583,0.126088178714871,0.172322296033477
CHN,0.0659586912993425,0.00820954815542454,0.0507904350989283,0.0829262009929153
CIV,0.230570343795823,0.0644755224170831,0.117502368677242,0.36807755490262
CMR,0.372880931063214,0.108554934480307,0.175776153797671,0.595527485274785
COD,0.18116528624136,0.0486061012821798,0.0963385448397293,0.285488477478524
COG,0.261052871621275,0.0779581208244083,0.124547758723762,0.426943666570348
COK,,,,
COL,0.107513344788243,0.0154965083414562,0.079062903671423,0.139690687447036
COM,0.29181566274544,0.104881133425696,0.111802542204007,0.516010304134103
CPV,0.152057433300864,0.0225904848527705,0.110492436425153,0.19885611345162
CRI,0.0904723154205106,0.0133644768635951,0.0660164539698099,0.118299274519609
CUB,0.0763273554698896,0.007386848059553,0.0624830620753547,0.0914142696768474
CUW,0.0778946449752628,0.0182274904527661,0.0460505431683006,0.117146753326462
CYM,0.118201097859482,0.0276592746962825,0.0696011366509794,0.177467688251817
CYP,0.0769044951373674,0.00702240615862213,0.0637081712390775,0.0912145782820987
CZE,0.0563989317850853,0.00432856255250022,0.0482154534289589,0.0651741072647725
DEU,0.0633041617199637,0.00506978512864182,0.05373191979387,0.073593589732634
DJI,0.123379339348907,0.0297924930466539,0.0711939264303873,0.187337846668526
DMA,0.0948019313767209,0.00732637030196948,0.0809306790495162,0.109633693455401
DNK,0.0406781920049008,0.00383851603456485,0.0334892782047765,0.0485240300754705
DOM,0.111394265840833,0.0298024324396344,0.0600111723995719,0.176057975642823
DZA,0.132017552822064,0.0314250531868194,0.0768003514221664,0.199321981942246
ECU,0.11389794045205,0.0174695329451622,0.0819494247985345,0.150278102043128
EGY,0.054077203374468,0.00564960019567573,0.0435421054323386,0.0656664143687396
ERI,0.233934731868964,0.0981388632138898,0.0738630534253677,0.45082691958217
ESP,0.0874484934178164,0.00850109577048832,0.0715091163328437,0.104803898137944
EST,0.136368439154512,0.0120558032322719,0.113607974924759,0.160830609114166
ETH,0.146977011330371,0.0396367283270872,0.0782938957723709,0.232577464249266
FIN,0.1557060800875,0.0118791600298053,0.133137211008576,0.179676321220014
FJI,0.105991296037262,0.0153006605730964,0.0779072770060313,0.137768620190576
FRA,0.0939691124838651,0.00661710361286429,0.0814014259092863,0.107328130626434
FSM,0.111799608694975,0.0264710593032304,0.0653990844345563,0.168622400540689
GAB,0.217197931112871,0.0769431864919052,0.0876792175475814,0.385190332677433
GBR,0.0727568233639086,0.00456398617278843,0.0640646866987941,0.0819487802634868
GEO,0.0751534433750343,0.00840197915008094,0.0595222314243599,0.0924199326785133
GHA,0.370259639316428,0.151922133064317,0.108286376273096,0.685809630415947
GIN,0.157107255902191,0.0421880834982883,0.0838240563631804,0.2480342853983
GMB,0.170457474351034,0.0373777988866123,0.103765627818553,0.249585652396238
GNB,0.390529616035426,0.0972684338764519,0.210410469617368,0.587821291923641
GNQ,0.35633357563293,0.112627591635283,0.154909664710615,0.589576458100723
GRC,0.116340004038296,0.00953473852499436,0.0983070889133561,0.135659026912377
GRD,0.69790393287512,0.15131457206405,0.367398307913802,0.938539793242171
GRL,0.070270984646478,0.0164435398884855,0.0415731712455205,0.105712806237481
GTM,0.113840136994747,0.0165540132126973,0.0834494876648773,0.148211708039346
GUM,0.10694685668461,0.0245242839413123,0.0638199676379809,0.159484832771419
GUY,0.228362533182092,0.0397512438689991,0.155357197982196,0.310673689480419
HKG,0.0384427894110563,0.00296914174542359,0.0328349639256069,0.0444675945928591
HND,0.191091839149987,0.0318050789027508,0.132781555662396,0.257104801361622
HRV,0.222650411567319,0.0169619548165263,0.190300583888269,0.256749644677501
HTI,0.120556241050085,0.0216894084042393,0.0813736873655888,0.166135966638919
HUN,0.14298192754891,0.0108971788896827,0.122291627553389,0.164983962691608
IDN,0.119124206072824,0.00809628698869107,0.103713556737442,0.135436632996166
IND,0.200770533213187,0.0350617314768004,0.13663859258948,0.273647045558289
IRL,0.0760787562229479,0.00614712057632325,0.0644695608701321,0.0885514968023027
IRN,0.090852094284898,0.0118247196936927,0.0690252177436317,0.115305103065878
IRQ,0.0874162881770608,0.00931306685993406,0.0700321600690499,0.106500694863762
ISL,0.223403474482835,0.017302856804804,0.190417531880128,0.25820064986161
ISR,0.131507065896173,0.0115188213984229,0.10975864486205,0.15487868005182
ITA,0.0861520440729288,0.00715300484334726,0.0726509006419568,0.100672435122011
JAM,0.134563132408597,0.0213971840804007,0.095455658971222,0.17912910063865
JOR,0.0186493468445349,0.0032631209715814,0.0128006492664372,0.0255574311623021
JPN,0.240472346044038,0.0194504089067945,0.20339748625346,0.279587853071259
KAZ,0.0588815845703385,0.0117109028189137,0.0380781953458326,0.0838213210850267
KEN,0.245990634026238,0.0652159887440429,0.130453228687362,0.384075225876006
KGZ,0.0555075152433934,0.00477638879417478,0.0465186040768601,0.0652292304939598
KHM,0.0848003013633472,0.0233362238532869,0.0449100449795203,0.13575799771807
KIR,0.108261404482721,0.0177876778989313,0.0759225256125582,0.145473814330935
KNA,0.451695086440048,0.0343683610144166,0.384842646718762,0.519424740584897
KOR,0.0778582044736487,0.00345215074189899,0.0712260702723012,0.0847558240830815
KWT,0.0279624684210042,0.00233973834214983,0.0235595611865918,0.0327254716864247
LAO,0.176378743567727,0.049524668061794,0.0905745879103292,0.283174217243367
LBN,0.114039183926978,0.0268906971069521,0.0668633550298834,0.171726395832034
LBR,0.242334486581281,0.0796470196742956,0.105553344164807,0.413935317935894
LBY,0.232108859559474,0.0861390432717831,0.0878223200761639,0.420260178256996
LCA,0.614632197299419,0.0587894904878126,0.496593120472414,0.72623747925847
LKA,0.0571848881462624,0.00865461985125933,0.041422398661694,0.0752780929187482
LSO,0.340136091383772,0.112743612272117,0.140909425561446,0.575647119059083
LTU,0.159207652481579,0.0129865192202428,0.134585229311559,0.185458412843281
LUX,0.0602800438862234,0.0069033204773521,0.0474665809386051,0.0744951112045792
LVA,0.163061214256811,0.0142163170746241,0.136164845444998,0.191850303244978
MAC,0.0779857491075748,0.0181566626680537,0.0462445521921288,0.117067998856746
MAR,0.106543078968194,0.0257112820213464,0.0616180407725909,0.161860906767905
MCO,,,,
MDA,0.119934992903781,0.0118269532275296,0.097730729467083,0.144049125829806
MDG,0.196743275454237,0.0610198190588871,0.0921509731161715,0.328959629456805
MDV,0.0669957253321363,0.010148915679097,0.048497475233346,0.0881980051902771
MEX,0.12387909279556,0.017460377642795,0.0917266673912653,0.160041825556614
MHL,0.201258082600808,0.0500648960845332,0.112707845474513,0.30769971587525
MKD,0.103295048522359,0.0151377703631716,0.0755463676289595,0.134767174414142
MLI,0.165378012416124,0.0479551871279764,0.0828699378159357,0.269290518776883
MLT,0.00941232045840967,0.00243992803866793,0.00524894997479446,0.0147574691370944
MMR,0.129124708114017,0.0381421688025552,0.0641519863977765,0.212434656927291
MNE,0.0145895495081694,0.00287960400406043,0.00949409606303929,0.0207434263386268
MNG,0.0251590268203689,0.00976338114702596,0.00974238034581124,0.0475192726736688
MNP,0.116118025342245,0.0272532403629948,0.0682638450654402,0.17454473189904
MOZ,0.113182118238587,0.0324532283443647,0.0577979081461395,0.184040334910414
MRT,0.190618417643792,0.0579395316725347,0.0911250603603452,0.316092170546997
MSR,,,,
MUS,0.174851249942556,0.027742630547474,0.12391319651812,0.232390195812446
MWI,0.273365806429127,0.0919156206265356,0.114722847498406,0.470035691136168
MYS,0.0669107162355786,0.0139149139357712,0.0422898252736619,0.0966228909609494
NAM,0.248330348671174,0.0555931405712537,0.14799849063729,0.364698697037747
NCL,0.0705475694338396,0.0165082612383629,0.0417357304410925,0.106127756750383
NER,0.200388988721443,0.0616134334081066,0.0945447580950028,0.333684768894254
NGA,0.357920831847878,0.0973738585136124,0.180768385219521,0.558229249636388
NIC,0.0711334058371952,0.0108338995835359,0.0513877636807432,0.0937666280451638
NIU,0.0956347906309278,0.0260092342201864,0.0510166122942838,0.152280619822703
NLD,0.0458483289111995,0.00388578122627882,0.0385341414052728,0.0537563317176395
NOR,0.116977634975757,0.00922132509713707,0.0995123217180476,0.13563816851834
NPL,0.249637146507217,0.096736484446881,0.0881886035528289,0.46068881660285
NRU,0.104913027626389,0.0245498417771606,0.0618605025404381,0.15760666748844
NZL,0.0362655824092227,0.00295345401764589,0.0306995430523562,0.0422700314114021
OMN,0.0565567067584974,0.00877094511964472,0.0406141550747024,0.0749214040037243
