iso3,g.whoregion,year,pop,inc,inc.lo,inc.hi,inc.sd,inc.h,inc.h.lo,inc.h.hi,inc.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort,mort.lo,mort.hi,mort.sd,inc.num,inc.lo.num,inc.hi.num,inc.h.num,inc.h.lo.num,inc.h.hi.num,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.num,mort.lo.num,mort.hi.num,source.inc,source.mort
ABW,AMR,2000,90866,8.10135226405588,6.93171445274957,9.36082800836007,0.620001448779787,,,,0.620001448779787,,,,,0.642915646280341,0.39370668073688,0.95224312194662,0.143102135071911,0,0,0,0,0.642915646280341,0.39370668073688,0.95224312194662,0.143102135071911,7.36137474825702,6.29857165463543,8.50580997807646,,,,0.584191731149095,0.357745512518373,0.865265235188016,0,0,0,0.584191731149095,0.357745512518373,0.865265235188016,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2001,92892,8.74726125903437,7.4843696222901,10.1071528538053,0.669433259619978,,,,0.669433259619978,,,,,0.684684633332843,0.419285030544016,1.01410850450013,0.152399204231117,0,0,0,0,0.684684633332843,0.419285030544016,1.01410850450013,0.152399204231117,8.12550592874221,6.95238062953772,9.38873642895678,,,,0.636017249595544,0.389482250572948,0.942025672000264,0,0,0,0.636017249595544,0.389482250572948,0.942025672000264,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2002,94992,9.37034094137469,8.01749144314601,10.8270991975692,0.717117929186839,,,,0.717117929186839,,,,,0.72500511643535,0.443976349011737,1.07382846004756,0.1613738609415,0,0,0,0,0.72500511643535,0.443976349011737,1.07382846004756,0.1613738609415,8.90107426703065,7.61597547167326,10.2848780697549,,,,0.688696860204268,0.421742013453229,1.02005113076838,0,0,0,0.688696860204268,0.421742013453229,1.02005113076838,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2003,97016,9.95903088143331,8.52118854211219,11.5073093815181,0.762170730721937,,,,0.762170730721937,,,,,0.763260397288383,0.467402984743917,1.13048957722646,0.169888838605393,0,0,0,0,0.763260397288383,0.467402984743917,1.13048957722646,0.169888838605393,9.66185339993133,8.26691627601556,11.1639312695736,,,,0.740484707033297,0.453455679679158,1.09675576824202,0,0,0,0.740484707033297,0.453455679679158,1.09675576824202,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2004,98744,10.5017706495619,8.98556954864541,12.1344257502085,0.803706937466471,,,,0.803706937466471,,,,,0.798833777590819,0.489187286415873,1.1831784447469,0.177806870624766,0,0,0,0,0.798833777590819,0.489187286415873,1.1831784447469,0.177806870624766,10.3698684102034,8.87271079511443,11.9820173627859,,,,0.788800425344278,0.483043094098489,1.16831772348088,0,0,0,0.788800425344278,0.483043094098489,1.16831772348088,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2005,100028,10.9869998161121,9.40074309435977,12.6950906503785,0.840841822661642,,,,0.840841822661642,,,,,0.831108559041538,0.508951602762704,1.23098165138076,0.184990690401588,0,0,0,0,0.831108559041538,0.508951602762704,1.23098165138076,0.184990690401588,10.9900761760606,9.40337530242619,12.6986452757606,,,,0.83134126943807,0.509094109211477,1.23132632624315,0,0,0,0.83134126943807,0.509094109211477,1.23132632624315,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2006,100830,11.4031579514357,9.75681781237167,13.1759464302852,0.87269065954865,,,,0.87269065954865,,,,,0.859468043339419,0.526318282563335,1.27298578594525,0.191303031337829,0,0,0,0,0.859468043339419,0.526318282563335,1.27298578594525,0.191303031337829,11.4978041624326,9.83779940021436,13.2853067856565,,,,0.866601628099136,0.53068672430861,1.2835515679686,0,0,0,0.866601628099136,0.53068672430861,1.2835515679686,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2007,101226,11.7386846258843,10.0439023364983,13.5636354388943,0.898368721368695,,,,0.898368721368695,,,,,0.883295532183344,0.540909674621281,1.30827743728301,0.196606626835458,0,0,0,0,0.883295532183344,0.540909674621281,1.30827743728301,0.196606626835458,11.8826008993976,10.1670405791438,13.7299256093751,,,,0.894124735407912,0.547541227232138,1.3243169186641,0,0,0,0.894124735407912,0.547541227232138,1.3243169186641,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2008,101362,11.9820194098096,10.2521053003097,13.8448000249216,0.916991281362977,,,,0.916991281362977,,,,,0.901974327272186,0.5523481277421,1.33594319423877,0.200764210296444,0,0,0,0,0.901974327272186,0.5523481277421,1.33594319423877,0.200764210296444,12.1452145141712,10.3917389744999,14.0333662012611,,,,0.914259217609634,0.559871109241947,1.3541387405443,0,0,0,0.914259217609634,0.559871109241947,1.3541387405443,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2009,101452,12.1216018735632,10.3715353360342,14.0060825357265,0.927673612772696,,,,0.927673612772696,,,,,0.914887730304829,0.560255990707583,1.35506964563271,0.203638515122756,0,0,0,0,0.914887730304829,0.560255990707583,1.35506964563271,0.203638515122756,12.2976075327674,10.5221300291135,14.2094508541452,,,,0.928171900148855,0.568390907692658,1.3747452568873,0,0,0,0.928171900148855,0.568390907692658,1.3747452568873,"Case notifications,
Standard adjustment",Indirect
